0: OP_PUSH, ARG1: 0, POINTER: 00B31780
1: OP_GETARG, ARG1: 255, POINTER: 00451024
2: OP_JUMP, ARG1: 0, POINTER: 00451058
3: OP_PUSH, ARG1: 0, POINTER: 00B325C8
4: OP_GETARG, ARG1: 255, POINTER: 00451084
5: OP_PUSH, ARG1: 0, POINTER: 00450808
6: OP_GETARG, ARG1: 255, POINTER: 00451084
7: OP_PUSH, ARG1: 255, POINTER: 00000000
8: OP_PUSH, ARG1: 0, POINTER: 00450838
9: OP_GETARG, ARG1: 255, POINTER: 00451084
10: OP_PUSH, ARG1: 255, POINTER: 00000000
11: OP_ADD, ARG1: 2, POINTER: 00000000
12: OP_MOVE, ARG1: 255, POINTER: 00000002
13: OP_PUSH, ARG1: 0, POINTER: 00B325C8
14: OP_SETARG, ARG1: 255, POINTER: 00451084
15: OP_PUSH, ARG1: 0, POINTER: 004508E0
16: OP_GETARG, ARG1: 2, POINTER: 00451084
17: OP_PUSH, ARG1: 2, POINTER: 00000000
18: OP_PUSH, ARG1: 0, POINTER: 004508B0
19: OP_GETARG, ARG1: 255, POINTER: 00451084
20: OP_PUSH, ARG1: 0, POINTER: 004508B0
21: OP_CALL, ARG1: 0, POINTER: 00000000
22: OP_RET, ARG1: 0, POINTER: 00000000
23: OP_PUSH, ARG1: 0, POINTER: 004509E8
24: OP_PUSH, ARG1: 0, POINTER: 00450A30
25: OP_PUSH, ARG1: 0, POINTER: 004509B8
26: OP_GETARG, ARG1: 255, POINTER: 00451084
27: OP_PUSH, ARG1: 0, POINTER: 004509B8
28: OP_CALL, ARG1: 0, POINTER: 00000000
29: OP_HALT, ARG1: 0, POINTER: 00000000
